Key,polish
pickUpDecorationsTip_title,"UL / Podnoszenie dekoracji"
pickUpDecorationsTip,"Wiele bloków dekoracyjnych znalezionych na świecie można podnieść!\nPodejdź do żądanego bloku i jeśli da się go podnieść, przytrzymując przycisk interakcji (Domyślnie klawisz: [decea3][E][-]) otworzy menu kołowe, za pomocą którego można zainicjować podnoszenie."
scavengeNailsTip_title,"UL / Zdobywanie gwoździ"
scavengeNailsTip,"Możesz wytworzyć [decea3]Gwoździe[-] w [decea3]Kuźni[-], możesz je również zdobyć niszcząc określone rodzaje mebli.\n\nGłówne meble, które mogą dać[decea3]Gwoździe[-] to różnego rodzaju kanapy i fotele.\n\nNie ma znaczenia, jakie narzędzie lub broń do walki wręcz zostaną użyte w tym procesie."
scavengeResinTip_title,"UL / Zdobywanie żywicy"
scavengeResinTip,"Główną drogą do zdobycia [decea3]Żywicy[-] jest wydłubywanie jej nożem lub inną bronią biała z drzew.\n\nTo sprawia, że drzewo "wykrwawia się" i daje ci to cenną[decea3]Żywicę[-].\n\nSuche drzewa mają znacznie mniejszą ilość [decea3]Żywicy[-] niż mokre. Rozmiar drzewa również odgrywa znaczącą rolę w tym, ile[decea3]Żywicy[-] możesz zdobyć."
scavengeHingesTip_title,"UL / Zdobywanie zawiasów"
scavengeHingesTip,"Tworzenie [decea3]Mosiężnych zawiasów[-] w [decea3]Kuźni[-] to nie jedyny sposób na ich zdobycie.\n\nAlternatywnym sposobem na zdobycie [decea3]Mosiężnych zawiasów[-] jest niszczenie drzwi, które są ich dobrym źródłem. Nie ma znaczenia, jakie narzędzie lub broń do walki wręcz zostaną użyte w tym procesie."
scavengeWaterTip_title,"UL / Zdobywanie wody"
scavengeWaterTip,"Uzyskanie wody pitnej na nieużytkach może być trudne. Jednym z głównych sposobów zbierania wody jest podejście do stoiska z wodą mineralną, beczką na wodę, kranu, toalety itp. a następnie wejście w interakcję trzymając [decea3]Pusty słoik[-] lub [decea3]Pustą plastikową butelkę[-] w ręku.\n\nIlość napełnionych słoików lub plastikowych butelek będzie zależeć od tego, ile ładunków ma źródło wody.\n\nDodatkowo możesz również stworzyć[decea3]Prymitywną studnię[-] lub [decea3]Pompę wody[-], które będą powoli wytwarzać wodę.\n\n[decea3]Wody nie można zbierać z rzek, jezior czy basenów, jest zbyt toksyczna, aby można ją było do czegokolwiek wykorzystać.[-]"
scavengeFuelTip_title,"UL / Zdobywanie benzyny"
scavengeFuelTip,"Może minąć trochę czasu, zanim będziesz w mógł produkować własną [decea3]Benzynę[-], dlatego alternatywnym sposobem na jej zdobycie jest znajdowanie [decea3]Beczek z paliwem[-]. Gdy znajdziesz paliwo, możesz je zebrać ze źródła trzymając [decea3]Pusty karnister lub Pustą beczkę[-] w ręku.\n\nIlość napełnionej [decea3]Benzyny[-] będzie zależeć od tego, ile ładunków ma jej źródło.\n\nDodatkowo na dalszym etapie będziesz mógł budować [decea3]Wydobywalnie oleju[-] i masowo produkować [decea3]Benzynę[-]."
searchInventoryTip_title,"UL / Ekwipunek / Szukanie"
searchInventoryTip,"Plecak, schowki lub schowek pojazdu mają [decea3]Przycisk wyszukiwania[-], które ułatwi Ci znalezienie poszukiwanego przedmiotu w ekwipunku, pojemnikach lub schowkach pojazdów.\n\nWyczyszczenie pola wyszukiwania lub ponowne naciśnięcie [decea3]Przycisku wyszukiwania[-] usunie wszystkie wyszukiwania."
vehicleEncumbranceTip_title,"UL / Pojazdy / Udźwig"
vehicleEncumbranceTip,"Gracz oraz pojazdy własne limity udźwigu. Wprzeciwieństwie do gracza, po osiągnięciu limitu, pojazd przestanie działać i nie będzie mógł się poruszyć.\n\nObciążenie pojazdu uwzględnia każdą wagę pasażera oprócz jego własnej wagi.\n\nGdy kierowca i wszyscy pasażerowie znajdą się w pojeździe, możesz zobaczyć, jak obciążony jest pojazd obok prędkościomierza. Jeśli pojazd jest obciążony, obok prędkościomierza zapali się odpowiedni wskaźnik."
abandonedVehicleRepairTip_title,"UL / Pojazdy / Naprawialne"
abandonedVehicleRepairTip,"Czasami można natknąć się na pojazd, który można naprawić. Różne pojazdy wymagają różnego rodzaju zestawów naprawczych:\nRower - Zestaw naprawczy do rowerów,\nMotorynka - Zestaw naprawczy motorynki,\nMotocykl - Zestaw naprawczy motocykla,\nAuta - Zestaw naprawczy do samochodów,\nCiężarówka wojskowa - Zestaw naprawczy do ciężarówek.\n\nAby naprawić[decea3]Naprawialny[-] pojazd musisz mieć [decea3]Klucz[-], [decea3]Grzechotkę[-] lub [decea3]Młot udarowy[-] oraz posiadać odpowiedni [decea3]Zestaw naprawczy[-] w ekwipunku. Podejdź do [decea3]Naprawialnego[-] pojazdu i przytrzymaj klawisz interakcji (Domyślnie: [decea3]E[-]) i z menu kołowego wybierz opcję napraw."
scavengeTitaniumTip_title,"UL / Zdobywanie Tytanu"
scavengeTitaniumTip,"[decea3]Tytan[-] jest bardzo rzadkim i poszukiwanym zasobem. Jest on używany do tworzenia najbardziej zaawansowanych przedmiotów.\n\nNie ma naturalnych złóż[decea3]Tytanu[-], ale może zostać zdobyte poprzez przeszukiwanie [decea3]Łupów[-] lub kupno od [decea3]Handlarza[-] oraz poprzez [decea3]Ekstraktor rudy[-], który ma małą szansę na wydobycie niewielkich ilości [decea3]Tytanu[-]."
pinRecipeTip_title,"UL / Ekwipunek / Przypnij przepis"
pinRecipeTip,"Aby śledzić zasoby potrzebne do wytworzenia określonych przedmiotów, możesz przypiąć przepis za pomocą akcji [decea3]Przypnij[-] przedmiot w panelu informacji o tworzeniu. Jednokrotne kliknięcie tej opcji spowoduje wyświetlenie przepisu jako pinezki po lewej stronie ekranu, ponowne kliknięcie spowoduje usunięcie pinezki. Możesz usunąć dowolną aktywną pinezkę, klikając ikonę 'X' na karcie pinezki.\n\nPrzypięty przepis będzie śledzić przedmioty w ekwipunku i aktualizować dostępne ilości składników na żywo, gdy zbierzesz lub stracisz wymagane zasoby z ekwipunku.\n\nTylko jedna przypięta receptura może być aktywna w tym samym czasie."
lockInventorySlotsTip_title,"UL / Ekwipunek / Blokowanie miejsca"
lockInventorySlotsTip,"Możesz zablokować dowolne miejsce w ekwipunku, najeżdżając na nie i naciskając klawisz [decea3][L][-]. Zablokowane miejsca są ignorowane podczas sortowania ekwipunku według wagi, ceny, typu lub nazwy jak również są odporne na naciśnięcie dowolnego przycisku [decea3]Przenieś do magazynu[-].\n\nAby odblokować zablokowane miejsce w ekwipunku, najedź na nie i naciśnij przycisk [decea3][L][-]. Możesz skonfigurować domyślne klawisze na inne w:\n[decea3]Opcje -> Przypisanie klawiszy -> UI -> Blokowanie miejsca ekwipunku[-]"
researchSystemTip_title,"UL / Wytwarzanie / Badania"
researchSystemTip,"System badań pozwala na odblokowanie nowych receptur rzemieślniczych oraz możliwość tworzenia przedmiotów lepszej jakości.\n\nAby rozpocząć badanie nowych przepisów, najpierw musisz stworzyć [decea3]Stacje badawczą[-], tam możesz wydać [decea3]Punkty badawcze[-] wraz z innymi wymaganymi materiałami, aby odblokować nowe przepisy.\n\nAby ulepszać przedmioty do lepszej jakości, musisz zbudować [decea3]Stacje konserwacyjną[-], możesz w niej naprawiać przedmioty, a także je ulepszać. Do ulepszeń wyższego poziomu musisz użyć lepszego [decea3]Stacji konserwacyjnej[-].\n\n[decea3]Punkty badawcze[-] można uzyskać poprzez złomowanie schematów, znajdowanie skarbów lub podczas podejmowania wyzwań. Dodatkowo [decea3]Punkty badań[-] można uzyskać, rozkładając niektóre przedmioty w [decea3]Stacja demontażu[-]."
vehicleFeatureToggleTip_title,"UL / Pojazdy / Dodatkowe przełączniki"
vehicleFeatureToggleTip,"Niektóre pojazdy mają dodatkowe funkcje, które można włączać, naciskając przycisk [decea3][Q][-] lub [decea3][R][-], na przykład światła policyjne lub taksówek można włączać/wyłączać za pomocą klawisza [decea3][Q][-], a także syrenę policyjną można włączyć/wyłączyć za pomocą klawisza [decea3][R][-].\n\nMożesz skonfigurować domyślne przypisania klawiszy w:\n[decea3]Opcje-> Ustawienia klawiszy -> Pojazdy -> Przełącz światła górne lub syrenę[-]."
journalNutrition_title,"Odżywianie"
journalNutrition,"Dbanie o zdrowie na pustkowiach nie jest łatwym zadaniem, więc oto kilka punktów, od których możesz zacząć:\n\nMusisz zbilansować 4 główne składniki odżywcze: Tłuszcz, węglowodany, białko i witaminy.\n\nPierwsze 3 określają ogólny poziom energii (kalorie). Witaminy określają siłę Twojego układu odpornościowego.\n\nTak długo, jak kalorie pozostają powyżej 0, nie umierasz, a posiadanie 0 witamin to nie koniec świata, ale będziesz bardziej podatny na choroby.\n\nZarządzanie wszystkimi 4 składnikami odżywczymi powyżej 75% pasywnie poprawi samopoczucie. Jeśli którykolwiek z 4 składników odżywczych spadnie poniżej 25%, stracisz dobre samopoczucie.\n\nDobra kondycja nie może spaść poniżej 0, a każdy punkt kondycji daje następujące bonusy:\n- Dodaje 1 do maksymalnego zdrowia\n- Dodaje 1 do maksymalnej wytrzymałości\n- Dodaje 1 do maksymalnego udźwigu\n- Dodaje 1% do zdobywanego doświadczenia\n\nJeśli twoje ciało posiada 0 kalorii, to umierasz i:\n- Każda pasywna regeneracja zdrowia zostaje zatrzymana\n- Tracisz 2 pkt. zdrowia co minutę\n- Zmniejszy to prędkość regeneracji wytrzymałości\n- Wytrzymałość zostaje zmniejszona\n- Zaczynasz być głodny."
journalTutorialQuest_title,"UL / Wprowadzenie"
journalTutorialQuest,"Witamy w [decea3]Undead Legacy[-]!\n\nMasz przy sobie [decea3]Torbę[-] na swoim pasku narzędzi zawierającą przydatne wyposażenie startowe, umieść ją na ziemi i wejdź w interakcję, aby odebrać przedmioty.\n\n[decea3]Wstęp[-] ta misja poprowadzi Cię przez podstawy zbierania i wytwarzania w\n[decea3]Undead Legacy[-].\n\n[decea3]Ważne![-]\nSprawdź swój [decea3]Dziennik[-] dla wpisów zaczynających się od [decea3]UL[-], poprowadzą cię one przez niektóre z bardziej skomplikowanych mechanik przedstawionych w [decea3]Undead Legacy[-]."
journalTutorialQuestSkipped_title,"UL / Wstęp"
journalTutorialQuestSkipped,"Witamy w [decea3]Undead Legacy[-]!\n\nMasz przy sobie [decea3]Torbę[-] na swoim pasku narzędzi zawierającą przydatne wyposażenie startowe, umieść ją na ziemi i wejdź w interakcję, aby odebrać przedmioty.\n\n[decea3]Ważne![-]\nSprawdź swój [decea3]Dziennik[-] dla wpisów zaczynających się od [decea3]UL[-], poprowadzą cię one przez niektóre z bardziej skomplikowanych mechanik przedstawionych w [decea3]Undead Legacy[-]."
animalBossGrace,"Zmutowany wielki dzik"
animalCoyote,"Kojot"
animalDireWolf,"Straszny wilk"
animalMountainLion,"Mountain Lion"
animalSnake,"Wąż"
animalWolf,"Wilk"
animalZombieBear,"Zainfekowany niedźwiedź"
animalZombieVultureRadiated,"Napromieniowany sęp zombie"
legendaryZombieBusinessMan,"Napromieniowany biznesmen"
legendaryZombieLab,"Napromieniowany naukowiec"
legendaryZombieUtilityWorker,"Napromieniowany robotnik zombie"
zombieArleneRadiated,"Napromieniowana zgniła dziewczyna"
zombieBikerFeral,"Dziki motocyklista zombie"
zombieBikerRadiated,"Napromieniowany motocyklista zombie"
zombieBoe,"Zainfekowany męzczyzna"
zombieBoeFeral,"Dziki mężczyzna"
zombieBoeRadiated,"Napromieniowany męzczyzna"
zombieCheerleaderRadiated,"Napromieniowana cheerleaderka Zombie"
zombieDarlene,"Zainfekowana kobieta"
zombieDarleneFeral,"Dzika kobieta"
zombieDarleneRadiated,"Napromieniowana kobieta"
zombieDemolition,"Destrukcyjny zombie"
zombieFemaleFatRadiated,"Napromieniowany głodny zombie"
zombieJanitor,"Woźny zombie"
zombieJanitorFeral,"Dziki woźny zombie"
zombieJanitorRadiated,"Napromieniowany woźny zombie"
zombieJoeRadiated,"Napromieniowane zwłoki"
zombieLab,"Zainfekowany naukowiec"
zombieLabFeral,"Dziki naukowiec"
zombieLabRadiated,"Napromieniowany naukowiec"
zombieMarleneRadiated,"Napromieniowana kobieta"
zombieMoeRadiated,"Napromieniowany nadęty pieszy"
zombieOldTimerRadiated,"Napromieniowany kowboj zombie"
zombieScreamerRadiated,"Napromieniowana krzykaczka"
zombieSkateboarder,"Punk zombie"
zombieSkateboarderFeral,"Dziki punkowy zombie"
zombieSkateboarderRadiated,"Napromieniowany punkowy zombie"
zombieSnow,"Zainfekowany drwal"
zombieSnowFeral,"Dziki drwal"
zombieSoldier,"Zainfekowany żołnierz"
zombieSoldierRadiated,"Napromieniowany żołnierz"
zombieSpider,"Pająk"
zombieSpiderFeral,"Dziki pająk"
zombieSpiderRadiated,"Napromieniowany pająk"
zombieSteveRadiated,"Napromieniowane chodzące zwłoki"
zombieWightRadiated,"Napromieniowany strzyga"
zombieYoRadiated,"Napromieniowane ścierwo"
adhesive,"Spoiwo"
branch,"Gałąź"
brass,"Mosiądz"
clay,"Glina"
cloth,"Płótno"
coal,"Węgiel"
copper,"Miedź"
cotton,"Bawełna"
electronics,"Elektronika"
feather,"Pióra"
fiber,"Włókna roślinne"
glass,"Szkło"
gold,"Złoto"
iron,"Żelazo"
knowledge,"Uwagi dotyczące umiejętności"
lead,"Ołów"
leather,"Skóra"
misc,"Różnorodne"
meleeToolChainsawParts,"Części narzędzi silnikowych"
organic,"Organiczne"
paper,"Papier"
plastic,"Plastik"
plants,"Rośliny"
potassium,"Azotan potasu"
research,"Badania"
rubber,"Śmieci"
sand,"Piasek"
silver,"Srebro"
steel,"Stal"
stick,"Kij"
stone,"Kamień"
sulfur,"Siarka"
titanium,"Tytan"
wood,"Drewno"
unit_brass,"Brass"
unit_clay,"Clay"
unit_coal,"Coal"
unit_copper,"Copper"
unit_glass,"Sand"
unit_gold,"Gold"
unit_iron,"Iron"
unit_lead,"Lead"
unit_silver,"Srebro"
unit_stone,"Kamien"
unit_titanium,"Tytan"
ammo9mmBulletBall,"9mm"
ammo9mmBulletBallDesc,"9mm [decea3]Standardowe[-] pociski, powszechnie używane przez[decea3]Małe pistolety[-]."
ammo9mmBulletHP,"9mm (HP)"
ammo9mmBulletHPDesc,"9mm [decea3]Ulepszone[-] pociski, które są alternaywą dla [decea3]Małych pistoletów[-], które mają lepszą penetrację i celność. Zakazane w większości rejonach."
ammo9mmBulletAP,"9mm Round (AP)"
ammo9mmBulletAPDesc,"9mm [decea3]Przeciwpancerne[-] pociski, które są alternatywą dla [decea3]Małych pistoletów[-] lecz o znacznie większej sile penetracji w porównaniu ze standardowymi pociskami."
ammo44MagnumBulletBall,".44 Cal Round"
ammo44MagnumBulletBallDesc,".44 Cal [decea3]Standard[-] Rounds, commonly used by [decea3]Large Handguns[-]."
ammo44MagnumBulletHP,".44 Cal Round (HP)"
ammo44MagnumBulletHPDesc,".44 Cal [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Large Handguns[-], that has better penetration and accuracy. Banned in most areas."
ammo44MagnumBulletAP,".44 Cal Round (AP)"
ammo44MagnumBulletAPDesc,".44 Cal [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Large Handguns[-] with much higher penetrating power compared to standard rounds."
ammo762mmBulletBall,"7.62mm Round"
ammo762mmBulletBallDesc,"7.62mm [decea3]Standard[-] Rounds, commonly used by [decea3]Assault Rifles[-]."
ammo762mmBulletHP,"7.62mm Round (HP)"
ammo762mmBulletHPDesc,"7.62mm [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Assault Rifles[-], that has better penetration and accuracy. Banned in most areas."
ammo762mmBulletAP,"7.62mm Round (AP)"
ammo762mmBulletAPDesc,"7.62mm [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Assault Rifles[-] with much higher penetrating power compared to standard rounds."
ammoBlunderbuss,"Blunderbuss Ammo"
ammoBlunderbussDesc,"Blunderbuss ammo can be made with paper and gun powder plus small rocks."
ammoArrowExploding,"Arrow (Exploding)"
ammoArrowFlaming,"Arrow (Flaming)"
ammoArrowIron,"Arrow (Iron)"
ammoArrowSteelAP,"Arrow (Steel)"
ammoArrowStone,"Arrow (Stone)"
ammoCrossbowBoltFlaming,"Crossbow Bolt (Flaming)"
ammoCrossbowBoltExploding,"Crossbow Bolt (Exploding)"
ammoCrossbowBoltExplodingDesc,"Crude solution, that packs a heavy punch. Compatible with most standard crossbows"
ammoCrossbowBoltIron,"Crossbow Bolt (Iron)"
ammoCrossbowBoltIronDesc,"Iron-tipped bolt, compatible with most standard crossbows."
ammoCrossbowBoltSteelAP,"Crossbow Bolt (Steel)"
ammoCrossbowBoltSteelAPDesc,"Steel-tipped bolt, compatible with most standard crossbows."
ammoCrossbowBoltStone,"Crossbow Bolt (Stone)"
ammoCrossbowBoltStoneDesc,"Stone-tipped bolt, compatible with most standard crossbows."
ammoGasCanSchematic,"Gasoline"
ammoGasCanSchematicDesc,"Instructions on how to make [decea3]Gasoline[-]."
ammoRocketHE,"Rocket"
ammoRocketHEDesc,"Used as rocket launcher ammunition."
ammoRocketFrag,"Frag Rocket"
ammoRocketFragDesc,"Fragmentation rocket, used as rocket launcher ammunition."
ammoShotgunShell,"Shotgun Shell"
ammoShotgunShellDesc,"12x50mm shell, the most common shotgun ammunition. Shot consists of multiple small pellets, that strike the target."
ammoShotgunSlug,"Shotgun Slug"
ammoShotgunSlugDesc,"12x50mm slug, deals more damage than standard shotgun shells. Shot consists of a single lead projectile (slug)."
armorClothGroupDesc,"No mobility impact, some damage protection, no weather protection."
armorLeatherGroupDesc,"Moderate mobility impact, some damage protection, no weather protection."
armorMilitaryGroupDesc,"Moderate mobility impact, some damage protection, no weather protection."
armorMiningHelmetDesc,"Offers good defense and is often required to have one while working in the mines or at a construction site."
armorHeavyGroupDesc,"High mobility impact, good damage protection, no weather protection."
armorSteelGroupDesc,"High mobility impact, good damage protection, no weather protection."
autoTurretSchematic,"SMG Auto Turret"
batterybankSchematic,"Battery Bank"
bladeTrapSchematic,"Blade Trap"
bucketEmpty,"Empty Bucket"
bucketEmptyDesc,"Can be used to transport water.\n[decea3]You cannot gather water from rivers, lakes or swimming pools, it's too toxic to be used for anything.[-]"
carBattery,"Lead Battery"
cementMixerSchematic,"Cement Mixer"
chemistryStationSchematic,"Chemistry Station"
dartTrapSchematic,"Dart Trap"
drinkJarBeerSchematic,"Beer"
drinkJarCoffeeSchematic,"Coffee"
drinkJarEmpty,"Empty Jar"
drinkJarEmptyDesc,"Can be used to transport water.\n[decea3]You cannot gather water from rivers, lakes or swimming pools, it's too toxic to be used for anything.[-]"
drinkJarGoldenRodTeaSchematic,"Goldenrod Tea"
drinkJarGrandpasAwesomeSauceSchematic,"Awesome Sauce"
drinkJarGrandpasLearningElixirSchematic,"Learning Elixir"
drinkJarGrandpasMoonshineSchematic,"Moonshine"
drinkJarPureMineralWater,"Mineral Water"
drinkJarRedTeaSchematic,"Red Tea"
drinkYuccaJuiceSmoothieSchematic,"Yucca Juice Smoothie"
drugAntibioticsSchematic,"Antibiotics"
drugHerbalAntibioticsSchematic,"Herbal Antibiotics"
drugJailBreakers,"Jail Breakers"
drugJailBreakersDesc,"Temporarily improves your lockpicking skill and also increases lockpicking tool durability by [decea3]200%[-]."
electricfencepostSchematic,"Electric Fence Post"
electrictimerrelaySchematic,"Electric Timer Relay"
foodBakedPotatoSchematic,"Baked Potato"
foodBaconAndEggsSchematic,"Bacon and Eggs"
foodBlueberryPieSchematic,"Blueberry Pie"
foodBoiledMeatSchematic,"Boiled Meat"
foodCanShamSchematic,"Can of Sham"
foodChiliDogSchematic,"Chili Dog"
foodCornBreadSchematic,"Corn Bread"
foodFishTacosSchematic,"Fish Tacos"
foodGrilledMeatSchematic,"Grilled Meat"
foodGumboStewSchematic,"Gumbo Stew"
foodHoboStewSchematic,"Hobo Stew"
foodMeatStewSchematic,"Meat Stew"
foodPumpkinBreadSchematic,"Pumpkin Bread"
foodPumpkinCheesecakeSchematic,"Pumpkin Cheesecake"
foodPumpkinPieSchematic,"Pumpkin Pie"
foodShepardsPieSchematic,"Shepard's Pie"
foodSpaghettiSchematic,"Spaghetti"
foodSteakAndPotatoSchematic,"Steak and Potato Meal"
foodVegetableStewSchematic,"Vegetable Stew"
forgeSchematic,"Furnace"
foodTunaFishGravyToastSchematic,"Tuna Fish Gravy Toast"
generatorbankSchematic,"Basics of Electricity"
gunPistol,"Pistol"
gunPistolDesc,"A basic pistol developed by Kiloton Ballistics for standard civilian use. Requires a magazine to function."
gunBotT1JunkSledge,"Sledge Turret"
gunBotT1JunkSledgeDesc,"Close proximity robotic melee turret. Can be deployed using secondary action."
gunBotT1JunkSledgeSchematic,"Sledge Turret"
gunBotT2JunkTurret,"Junk Turret"
gunBotT2JunkTurretDesc,"Can be used as a gun or placed on the ground"
gunBotT2JunkTurretSchematic,"Junk Turret"
gunBotT3JunkDrone,"Junk Drone"
gunBotT3JunkDroneDesc,"Programmed to be a loyal companion in the apocalypse. It can help you carry some items or heal you."
gunBotT3JunkDroneSchematic,"Junk Drone"
gunBowT0PrimitiveBow,"Primitive Bow"
gunBowT0PrimitiveBowDesc,"Doesn't do much damage, but is a good starter ranged weapon"
gunBowT1WoodenBow,"Hunting Bow"
gunBowT1WoodenBowDesc,"Good for hunting and killing"
gunBowT1WoodenBowSchematic,"Hunting Bow"
gunBowT3CompoundBow,"Compound Bow"
gunBowT3CompoundBowDesc,"Does more damage and is more precise than regular bows"
gunBowT3CompoundBowSchematic,"Compound Bow"
gunBowT1IronCrossbow,"Iron Crossbow"
gunBowT1IronCrossbowDesc,"Slow to reload, but deals more damage compared to bows and it can be fired underwater."
gunBowT1IronCrossbowSchematic,"Iron Crossbow"
gunBowT3CompoundCrossbowSchematic,"Compound Crossbow"
gunExplosivesT3RocketLauncher,"Rocket Launcher"
gunExplosivesT3RocketLauncherDesc,"Can cause hell and chaos"
gunExplosivesT3RocketLauncherSchematic,"Rocket Launcher"
gunHandgunT0PipePistol,"Rusty Revolver"
gunHandgunT0PipePistolDesc,"Surprisingly still functional."
gunHandgunT0PipePistolBlueprint,"Rusty Revolver"
gunHandgunT1Pistol,"Bengal M9"
gunHandgunT1PistolDesc,"Standard issue pistol"
gunHandgunT1PistolSchematic,"Bengal M9"
gunHandgunT2Magnum44,"Magnum .44"
gunHandgunT2Magnum44Desc,"A very powerful, but noisy revolver"
gunHandgunT2Magnum44Schematic,"Magnum .44"
gunHandgunT3DesertVulture,"Desert Vulture"
gunHandgunT3DesertVultureDesc,"Heavy 44 Cal Handgun"
gunHandgunT3DesertVultureSchematic,"Desert Vulture"
gunHandgunT3SMG5,"SMG-5"
gunHandgunT3SMG5Desc,"Standard issue submachine gun"
gunHandgunT3SMG5Schematic,"SMG-5"
gunMGT0PipeMachineGun,"Pipe Machine Gun"
gunMGT0PipeMachineGunDesc,"Made out of scrap metal and pipes, surprisingly it's not blowing up."
gunMGT0PipeMachineGunBlueprint,"Pipe Machine Gun"
gunMGT1AK47,"AK-47"
gunMGT1AK47Desc,"Despite it's simplicity, this weapon can be very powerful in the right hands"
gunMGT1AK47Schematic,"AK-47"
gunMGT2TacticalAR,"Tactical Assault Rifle"
gunMGT2TacticalARDesc,"Military grade assault rifle"
gunMGT2TacticalARSchematic,"Tactical Assault Rifle"
gunMGT3M60,"M60 Machine Gun"
gunMGT3M60Desc,"Cumbersome to use, but excel at automatic fire"
gunMGT3M60Schematic,"M60 Machine Gun"
gunRifleT0PipeRifle,"Pipe Rifle"
gunRifleT0PipeRifleDesc,"Very primitive firearm."
gunRifleT0PipeRifleBlueprint,"Pipe Rifle"
gunRifleT1HuntingRifle,"Hunting Rifle"
gunRifleT1HuntingRifleDesc,"Some farmers favorite choice of ranged weapon due to its combination of simplicity and firepower"
gunRifleT1HuntingRifleSchematic,"Hunting Rifle"
gunRifleT2LeverActionRifle,"Lever Action Rifle"
gunRifleT2LeverActionRifleDesc,"Have to make those shots count with this."
gunRifleT2LeverActionRifleSchematic,"Lever Action Rifle"
gunRifleT2MarksmanRifle,"Marksman Rifle"
gunRifleT2MarksmanRifleDesc,"Mid-tier rifle with good firepower"
gunRifleT3SniperRifle,"Sniper Rifle"
gunRifleT3SniperRifleDesc,"High precision rifle is an excellent choice for sniping enemies at great distances"
gunRifleT3SniperRifleSchematic,"Sniper Rifle"
gunShotgunT0PipeShotgun,"Pipe Shotgun"
gunShotgunT0PipeShotgunDesc,"Short range primitive firearm, effective at very close ranges."
gunShotgunT0PipeShotgunBlueprint,"Pipe Shotgun"
gunShotgunT1DoubleBarrel,"Double Barrel Shotgun"
gunShotgunT1DoubleBarrelDesc,"Great for close range carnage"
gunShotgunT1DoubleBarrelSchematic,"Double Barrel Shotgun"
gunShotgunT2PumpShotgun,"Pump Shotgun"
gunShotgunT2PumpShotgunDesc,"Long-barrel shotgun with pump action loading"
gunShotgunT2PumpShotgunSchematic,"Pump Shotgun"
gunShotgunT3AutoShotgun,"Auto Shotgun"
gunShotgunT3AutoShotgunDesc,"Semi automatic shotgun has a very devastating short range gun, capable of making minced meat out of anything in its path"
gunShotgunT3AutoShotgunSchematic,"Auto Shotgun"
leatherPoncho,"Poncho"
leatherPonchoDesc,"This poncho provides a little protection and helps you survive hot weather."
lightPlayerNoPowerGroupDesc,"Requires no external power source"
medicalBloodDrawKit,"Blood Draw Kit"
medicalBloodDrawKitDesc,"Use blood draw kits to make blood bags. These are used to craft first aid kits."
medicalFirstAidBandageSchematic,"First Aid Bandage"
medicalFirstAidKitSchematic,"First Aid Kit"
medicalPlasterCastSchematic,"Plaster Cast"
meleeToolAxeT1IronFireaxe,"Iron Fireaxe"
meleeToolAxeT1IronFireaxeDesc,"[decea3]+200%[-] more damage against trees."
meleeToolAxeT2SteelAxe,"Steel Axe"
meleeToolAxeT2SteelAxeDesc,"[decea3]+300%[-] more damage against trees."
meleeToolAxeT3Chainsaw,"Chainsaw"
meleeToolAxeT3ChainsawDesc,"[decea3]+300%[-] more damage against trees."
meleeToolAxeT3ChainsawSchematic,"Chainsaw"
meleeToolFlashlight02,"Flashlight"
meleeToolFlashlight02Desc,"Can be used as a light source"
meleeToolHuntingKnife,"Hunting Knife"
meleeToolHuntingKnifeDesc,"Useful tool for slicing wood to gain [decea3]Resin[-], cactus to gain [decea3]Yucca Fruit[-]. Also useful for gutting animals."
meleeToolIronSetSchematic,"Iron Tools"
meleeToolMachete,"Iron Machete"
meleeToolMacheteDesc,"Great tool for slicing wood to gain [decea3]Resin[-], cactus to gain [decea3]Yucca Fruit[-]. Also useful for gutting animals or chopping zombie limbs off."
meleeToolPickT1IronPickaxe,"Iron Pickaxe"
meleeToolPickT1IronPickaxeDesc,"[decea3]+100%[-] more damage to ore and asphalt. Good for breaking stone and harvesting minerals"
meleeToolPickT2SteelPickaxe,"Steel Pickaxe"
meleeToolPickT2SteelPickaxeDesc,"[decea3]+100%[-] more damage to ore and asphalt. Great for breaking stone and harvesting minerals"
meleeToolPickT3Auger,"Auger"
meleeToolPickT3AugerDesc,"[decea3]+120%[-] more damage to earth and asphalt."
meleeToolPickT3AugerSchematic,"Auger"
meleeToolRepairT1ClawHammer,"Claw Hammer"
meleeToolRepairT1ClawHammerDesc,"Great block repair and upgrade tool. Can be used as a weapon"
meleeToolRepairT3Nailgun,"Nail gun"
meleeToolRepairT3NailgunDesc,"Best block repair and upgrade tool. Can be used as weapon"
meleeToolRepairT3NailgunSchematic,"Nail gun"
meleeToolRepairT0StoneAxe,"Stone Axe"
meleeToolRepairT0StoneAxeDesc,"[decea3]+200%[-] more damage against trees. Not the best weapon but useful for cutting wood."
meleeToolRepairT0TazasStoneAxe,"Taza's Stone Axe"
meleeToolRepairT0TazasStoneAxeDesc,"[decea3]+200%[-] more damage against trees. The Apache artifact, that is to be believed of making those who wielded it invincible in battle"
meleeToolSalvageT1Wrench,"Wrench"
